,Year,Trimester,Province,Mbps,date
459,2017,4,Chaco,12.0,2017-10-01
460,2017,4,Chubut,5.0,2017-10-01
461,2017,4,Córdoba,12.0,2017-10-01
462,2017,4,Corrientes,10.0,2017-10-01
463,2017,4,Entre Ríos,9.0,2017-10-01
464,2017,4,Formosa,10.0,2017-10-01
465,2017,4,Jujuy,7.0,2017-10-01
466,2017,4,La Pampa,4.0,2017-10-01
467,2017,4,La Rioja,6.0,2017-10-01
468,2017,4,Mendoza,6.0,2017-10-01
469,2017,4,Misiones,11.0,2017-10-01
470,2017,4,Neuquén,11.0,2017-10-01
471,2017,4,Río Negro,8.0,2017-10-01
472,2017,4,Salta,8.0,2017-10-01
473,2017,4,San Juan,6.0,2017-10-01
474,2017,4,San Luis,6.0,2017-10-01
475,2017,4,Santa Cruz,5.0,2017-10-01
476,2017,4,Santa Fe,10.0,2017-10-01
477,2017,4,Santiago del Estero,6.0,2017-10-01
478,2017,4,Tierra del Fuego,5.0,2017-10-01
479,2017,4,Tucumán,9.0,2017-10-01
480,2017,3,Buenos Aires,8.0,2017-07-01
481,2017,3,Ciudad de Buenos Aires,11.0,2017-07-01
482,2017,3,Catamarca,5.0,2017-07-01
483,2017,3,Chaco,8.0,2017-07-01
484,2017,3,Chubut,3.0,2017-07-01
485,2017,3,Córdoba,9.0,2017-07-01
486,2017,3,Corrientes,7.0,2017-07-01
487,2017,3,Entre Ríos,7.0,2017-07-01
488,2017,3,Formosa,7.0,2017-07-01
489,2017,3,Jujuy,5.0,2017-07-01
490,2017,3,La Pampa,3.0,2017-07-01
491,2017,3,La Rioja,5.0,2017-07-01
492,2017,3,Mendoza,4.0,2017-07-01
493,2017,3,Misiones,8.0,2017-07-01
494,2017,3,Neuquén,8.0,2017-07-01
495,2017,3,Río Negro,5.0,2017-07-01
496,2017,3,Salta,6.0,2017-07-01
497,2017,3,San Juan,3.0,2017-07-01
498,2017,3,San Luis,4.0,2017-07-01
499,2017,3,Santa Cruz,4.0,2017-07-01
500,2017,3,Santa Fe,8.0,2017-07-01
501,2017,3,Santiago del Estero,5.0,2017-07-01
502,2017,3,Tierra del Fuego,3.0,2017-07-01
503,2017,3,Tucumán,6.0,2017-07-01
504,2017,2,Buenos Aires,7.0,2017-04-01
505,2017,2,Ciudad de Buenos Aires,9.0,2017-04-01
506,2017,2,Catamarca,5.0,2017-04-01
507,2017,2,Chaco,8.0,2017-04-01
508,2017,2,Chubut,3.0,2017-04-01
509,2017,2,Córdoba,7.0,2017-04-01
510,2017,2,Corrientes,7.0,2017-04-01
511,2017,2,Entre Ríos,6.0,2017-04-01
512,2017,2,Formosa,6.0,2017-04-01
513,2017,2,Jujuy,5.0,2017-04-01
514,2017,2,La Pampa,3.0,2017-04-01
515,2017,2,La Rioja,6.0,2017-04-01
516,2017,2,Mendoza,4.0,2017-04-01
517,2017,2,Misiones,8.0,2017-04-01
518,2017,2,Neuquén,7.0,2017-04-01
519,2017,2,Río Negro,5.0,2017-04-01
520,2017,2,Salta,6.0,2017-04-01
521,2017,2,San Juan,3.0,2017-04-01
522,2017,2,San Luis,4.0,2017-04-01
523,2017,2,Santa Cruz,4.0,2017-04-01
524,2017,2,Santa Fe,7.0,2017-04-01
525,2017,2,Santiago del Estero,5.0,2017-04-01
526,2017,2,Tierra del Fuego,3.0,2017-04-01
527,2017,2,Tucumán,6.0,2017-04-01
528,2017,1,Buenos Aires,7.0,2017-01-01
529,2017,1,Ciudad de Buenos Aires,8.0,2017-01-01
530,2017,1,Catamarca,5.0,2017-01-01
531,2017,1,Chaco,7.0,2017-01-01
532,2017,1,Chubut,3.0,2017-01-01
533,2017,1,Córdoba,7.0,2017-01-01
534,2017,1,Corrientes,6.0,2017-01-01
535,2017,1,Entre Ríos,6.0,2017-01-01
536,2017,1,Formosa,6.0,2017-01-01
537,2017,1,Jujuy,4.0,2017-01-01
538,2017,1,La Pampa,3.0,2017-01-01
539,2017,1,La Rioja,5.0,2017-01-01
540,2017,1,Mendoza,4.0,2017-01-01
541,2017,1,Misiones,7.0,2017-01-01
542,2017,1,Neuquén,6.0,2017-01-01
543,2017,1,Río Negro,4.0,2017-01-01
