,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
499,2017,3,Santa Cruz,19220,5487,1544,4552,2887,33690,2017-07-01,0.08033298647242455
500,2017,3,Santa Fe,322953,290655,6338,4897,37499,662342,2017-07-01,0.01962514669317207
501,2017,3,Santiago del Estero,27733,54096,19,9110,350,82794,2017-07-01,0.0006851043882738975
502,2017,3,Tierra del Fuego,21587,7012,622,10,2244,31466,2017-07-01,0.028813637837587436
503,2017,3,Tucumán,154130,6431,106,400,3050,161012,2017-07-01,0.0006877311360539804
504,2017,2,Buenos Aires,1378549,1535037,119132,21555,24358,3078631,2017-04-01,0.0864184007967798
505,2017,2,Ciudad de Buenos Aires,615262,932466,38628,2819,11016,1600191,2017-04-01,0.0627830095146458
506,2017,2,Catamarca,26401,255,14,10,340,26705,2017-04-01,0.0005302829438278853
507,2017,2,Chaco,54449,35613,458,520,390,90611,2017-04-01,0.00841154107513453
508,2017,2,Chubut,43994,1067,916,13194,4804,63975,2017-04-01,0.02082102104832477
509,2017,2,Córdoba,341748,303488,4451,6446,1505,657638,2017-04-01,0.013024216674274612
510,2017,2,Corrientes,55262,33192,258,1354,310,90097,2017-04-01,0.00466866924830806
511,2017,2,Entre Ríos,108309,67650,254,6448,710,182732,2017-04-01,0.002345142139619053
512,2017,2,Formosa,22493,6410,17,1023,130,29956,2017-04-01,0.0007557906904370248
513,2017,2,Jujuy,33742,8858,22,0,350,42657,2017-04-01,0.0006520064015173967
514,2017,2,La Pampa,12754,48310,5194,6253,5110,73022,2017-04-01,0.407244785949506
515,2017,2,La Rioja,16244,0,15,20,280,16289,2017-04-01,0.0009234178773701059
516,2017,2,Mendoza,153331,13030,2581,270,1784,170753,2017-04-01,0.016832864847943337
517,2017,2,Misiones,56752,42925,103,50,90,99794,2017-04-01,0.0018149140118409923
518,2017,2,Neuquén,51794,50283,1133,11545,2678,117433,2017-04-01,0.021875120670347917
519,2017,2,Río Negro,67038,29147,961,3213,126,101619,2017-04-01,0.014335153196694412
520,2017,2,Salta,80184,27280,115,1580,8040,108541,2017-04-01,0.0014342013369250722
521,2017,2,San Juan,48670,451,772,1073,9150,51881,2017-04-01,0.015861927265255805
522,2017,2,San Luis,11432,1120,354,260,3750,13307,2017-04-01,0.030965710286913927
523,2017,2,Santa Cruz,15311,2722,1365,4735,2255,26388,2017-04-01,0.08915159035987198
524,2017,2,Santa Fe,329813,228102,3234,4958,1173,567280,2017-04-01,0.009805556482006471
